epoch,current,desired,ready,cpu_pct,spec
1790282576,2,0,1,,2
1790282578,2,0,2,,2
1790282580,2,0,2,,2
1790282582,2,0,2,,2
1790282584,2,0,2,,2
1790282586,2,0,2,,2
1790282589,2,0,2,,2
1790282591,2,0,2,,2
1790282593,2,0,2,,2
1790282595,2,0,2,,2
1790282597,2,0,2,,2
1790282599,2,0,2,,2
1790282601,2,0,2,,2
1790282603,2,0,2,,2
1790282605,2,0,2,,2
1790282607,2,0,2,,2
1790282610,2,0,2,,2
1790282612,2,0,2,,2
1790282614,2,0,2,,2
1790282616,2,0,2,,2
1790282618,2,2,2,19,2
1790282620,2,2,2,19,2
1790282622,2,2,2,19,2
1790282624,2,2,2,19,2
1790282626,2,2,2,19,2
1790282629,2,2,2,19,2
1790282631,2,2,2,19,2
1790282633,2,2,2,19,2
1790282635,2,2,2,19,2
1790282637,2,2,2,19,2
1790282639,2,2,2,19,2
1790282641,2,2,2,19,2
1790282643,2,2,2,19,2
1790282646,2,2,2,19,2
1790282648,2,4,2,104,4
1790282650,2,4,2,104,4
1790282652,2,4,2,104,4
1790282654,2,4,2,104,4
1790282657,2,4,4,104,4
1790282659,2,4,4,104,4
1790282661,2,4,4,104,4
1790282663,4,8,4,315,8
1790282665,4,8,4,315,8
1790282667,4,8,4,315,8
1790282669,4,8,4,315,8
1790282672,4,8,4,315,8
1790282674,4,8,4,315,8
1790282676,4,8,8,315,8
1790282678,8,10,8,328,10
1790282680,8,10,8,328,10
1790282683,8,10,8,328,10
1790282685,8,10,8,328,10
1790282687,8,10,10,328,10
1790282689,8,10,10,328,10
1790282691,8,10,10,328,10
1790282693,10,10,10,219,10
1790282695,10,10,10,219,10
1790282698,10,10,10,219,10
1790282700,10,10,10,219,10
1790282702,10,10,10,219,10
1790282704,10,10,10,219,10
1790282706,10,10,10,219,10
1790282708,10,10,10,123,10
1790282710,10,10,10,123,10
1790282713,10,10,10,123,10
1790282715,10,10,10,123,10
1790282717,10,10,10,123,10
1790282719,10,10,10,123,10
1790282721,10,10,10,123,10
1790282723,10,10,10,75,10
1790282725,10,10,10,75,10
1790282728,10,10,10,75,10
1790282730,10,10,10,75,10
1790282732,10,10,10,75,10
1790282734,10,10,10,75,10
1790282736,10,10,10,75,10
1790282738,10,10,10,72,10
1790282740,10,10,10,72,10
1790282743,10,10,10,72,10
1790282745,10,10,10,72,10
1790282747,10,10,10,72,10
1790282749,10,10,10,72,10
1790282751,10,10,10,72,10
1790282753,10,10,10,74,10
1790282755,10,10,10,74,10
1790282757,10,10,10,74,10
1790282760,10,10,10,74,10
1790282762,10,10,10,74,10
1790282764,10,10,10,74,10
1790282766,10,10,10,74,10
1790282768,10,10,10,73,10
1790282770,10,10,10,73,10
1790282773,10,10,10,73,10
1790282775,10,10,10,73,10
1790282777,10,10,10,73,10
1790282779,10,10,10,73,10
1790282781,10,10,10,73,10
1790282783,10,10,10,75,10
1790282785,10,10,10,75,10
1790282788,10,10,10,75,10
1790282790,10,10,10,75,10
1790282792,10,10,10,75,10
1790282794,10,10,10,75,10
1790282796,10,10,10,75,10
1790282798,10,10,10,74,10
1790282800,10,10,10,74,10
1790282803,10,10,10,74,10
1790282805,10,10,10,74,10
1790282807,10,10,10,74,10
1790282809,10,10,10,74,10
1790282811,10,10,10,74,10
1790282813,10,10,10,71,10
1790282815,10,10,10,71,10
1790282817,10,10,10,71,10
1790282820,10,10,10,71,10
1790282822,10,10,10,71,10
1790282824,10,10,10,71,10
1790282826,10,10,10,71,10
1790282828,10,10,10,71,10
1790282830,10,10,10,71,10
1790282832,10,10,10,71,10
1790282835,10,10,10,71,10
1790282837,10,10,10,71,10
1790282839,10,10,10,71,10
1790282841,10,10,10,71,10
1790282843,10,10,10,71,10
1790282845,10,10,10,71,10
1790282847,10,10,10,71,10
1790282849,10,10,10,71,10
1790282852,10,10,10,71,10
1790282854,10,10,10,71,10
1790282856,10,10,10,71,10
1790282858,10,10,10,72,10
1790282860,10,10,10,72,10
1790282862,10,10,10,72,10
1790282864,10,10,10,72,10
1790282867,10,10,10,72,10
1790282869,10,10,10,72,10
1790282871,10,10,10,72,10
1790282873,10,10,10,72,10
1790282875,10,10,10,72,10
1790282877,10,10,10,72,10
1790282879,10,10,10,72,10
1790282881,10,10,10,72,10
1790282883,10,10,10,72,10
1790282886,10,10,10,72,10
1790282888,10,10,10,72,10
1790282890,10,10,10,69,10
1790282892,10,10,10,69,10
1790282894,10,10,10,69,10
1790282896,10,10,10,69,10
1790282898,10,10,10,69,10
1790282900,10,10,10,69,10
1790282902,10,10,10,69,10
1790282904,10,10,10,29,10
1790282907,10,10,10,29,10
1790282909,10,10,10,29,10
1790282911,10,10,10,29,10
1790282913,10,10,10,29,10
1790282915,10,10,10,29,10
1790282917,10,10,10,29,10
1790282919,10,10,10,7,10
1790282921,10,10,10,7,10
1790282923,10,10,10,7,10
1790282926,10,10,10,7,10
1790282928,10,10,10,7,10
1790282930,10,10,10,7,10
1790282932,10,10,10,7,10
1790282934,10,10,10,5,10
1790282936,10,10,10,5,10
1790282938,10,10,10,5,10
1790282940,10,10,10,5,10
1790282942,10,10,10,5,10
1790282944,10,10,10,5,10
1790282947,10,10,10,5,10
1790282949,10,10,10,6,10
1790282951,10,10,10,6,10
1790282953,10,10,10,6,10
1790282955,10,10,10,6,10
